date," fanSignal"," resistorSignal"
2023-06-18 17:03:35.953116,100,0
2023-06-18 17:03:37.155675,100,0
2023-06-18 17:03:38.358209,100,0
2023-06-18 17:03:39.561047,100,0
2023-06-18 17:03:40.763543,100,0
2023-06-18 17:03:41.966080,100,0
2023-06-18 17:03:43.168403,100,0
2023-06-18 17:03:44.370889,100,0
2023-06-18 17:03:45.572542,100,0
2023-06-18 17:03:46.775097,100,0
2023-06-18 17:03:47.977740,100,0
2023-06-18 17:03:49.180610,100,0
2023-06-18 17:03:50.383269,100,0
2023-06-18 17:03:51.585711,100,0
2023-06-18 17:03:52.788583,100,0
2023-06-18 17:03:53.990430,100,0
2023-06-18 17:03:55.193038,100,0
2023-06-18 17:03:56.395749,100,0
2023-06-18 17:03:57.598088,100,0
2023-06-18 17:03:58.802058,100,0
2023-06-18 17:04:00.005215,100,0
2023-06-18 17:04:01.207740,100,0
2023-06-18 17:04:02.410954,100,0
2023-06-18 17:04:03.615193,100,0
2023-06-18 17:04:04.818620,100,0
2023-06-18 17:04:06.020573,100,0
2023-06-18 17:04:07.225091,100,0
2023-06-18 17:04:08.428702,100,0
2023-06-18 17:04:09.632135,100,0
2023-06-18 17:04:10.839198,100,0
2023-06-18 17:04:12.038106,100,0
2023-06-18 17:04:13.241986,100,0
2023-06-18 17:04:14.445491,100,0
2023-06-18 17:04:15.649139,100,0
2023-06-18 17:04:16.852253,100,0
2023-06-18 17:04:18.053058,100,0
2023-06-18 17:04:19.254838,100,0
2023-06-18 17:04:20.457886,100,0
2023-06-18 17:04:21.660050,100,0
2023-06-18 17:04:23.063309,0,100
2023-06-18 17:04:24.466461,0,32
2023-06-18 17:04:34.290732,0,29
2023-06-18 17:04:35.692509,0,66
2023-06-18 17:04:37.095417,0,100
2023-06-18 17:04:38.498853,0,66
2023-06-18 17:04:39.902201,0,100
2023-06-18 17:04:41.305032,0,65
2023-06-18 17:04:42.708435,0,100
2023-06-18 17:04:44.111487,0,65
2023-06-18 17:04:45.515062,0,100
2023-06-18 17:04:46.917850,0,65
2023-06-18 17:04:48.321149,0,100
2023-06-18 17:04:49.724440,0,100
2023-06-18 17:04:51.126303,0,100
2023-06-18 17:04:52.524222,0,66
2023-06-18 17:04:53.923968,0,100
2023-06-18 17:04:55.326105,0,65
2023-06-18 17:04:56.728151,0,100
2023-06-18 17:04:58.139663,0,65
2023-06-18 17:04:59.542548,0,100
2023-06-18 17:05:00.946056,0,64
2023-06-18 17:05:02.349009,0,100
2023-06-18 17:05:03.752295,0,64
2023-06-18 17:05:05.155529,0,100
2023-06-18 17:05:06.558806,0,63
2023-06-18 17:05:07.962247,0,100
2023-06-18 17:05:09.365446,0,63
2023-06-18 17:05:10.768481,0,100
2023-06-18 17:05:12.171683,0,62
2023-06-18 17:05:13.573649,0,100
2023-06-18 17:05:14.976761,0,100
2023-06-18 17:05:16.380055,0,100
2023-06-18 17:05:17.783382,0,24
2023-06-18 17:05:19.186464,0,99
2023-06-18 17:05:20.589786,0,60
2023-06-18 17:05:21.993033,0,99
2023-06-18 17:05:23.396275,0,99
2023-06-18 17:05:24.799565,0,100
2023-06-18 17:05:26.202969,0,22
2023-06-18 17:05:27.605989,0,97
2023-06-18 17:05:29.007596,0,98
2023-06-18 17:05:30.411407,0,98
2023-06-18 17:05:31.814400,0,60
2023-06-18 17:05:33.217392,0,98
2023-06-18 17:05:34.620984,0,59
2023-06-18 17:05:36.023971,0,97
2023-06-18 17:05:37.427551,0,58
2023-06-18 17:05:38.830609,0,96
2023-06-18 17:05:40.233847,0,57
2023-06-18 17:05:41.636972,0,95
2023-06-18 17:05:43.038877,0,56
2023-06-18 17:05:44.442407,0,94
2023-06-18 17:05:45.845585,0,56
2023-06-18 17:05:47.248875,0,94
